頭文字,製品名,登録番号,列1,用途,有効成分-1,RACｺｰﾄﾞ-1,有効成分-2,RACｺｰﾄﾞ-2,有効成分-3,RACｺｰﾄﾞ-3,有効成分-4,RACｺｰﾄﾞ-4,有効成分-5,RACｺｰﾄﾞ-5
O,OAT石灰硫黄合剤,23641,,殺菌剤,石灰硫黄合剤,UN,,,,,,,,
O,OATｲｵｳﾌﾛｱﾌﾞﾙ,23642,,殺菌剤,硫黄,"UN(I*), M2(F*)",,,,,,,,
漢字,協友ﾏﾃﾘｰﾅ水和剤,23645,,殺菌剤,ｵｷｿﾘﾆｯｸ酸,31,ｽﾄﾚﾌﾟﾄﾏｲｼﾝ硫酸塩,25,,,,,,
ヘ,ﾍﾞｼﾞｾｲﾊﾞｰ,23646,,殺菌剤,ﾍﾟﾝﾁｵﾋﾟﾗﾄﾞ,7,TPN,M5,,,,,,
S,SDSﾍﾞｼﾞｾｲﾊﾞｰ,23647,,殺菌剤,ﾍﾟﾝﾁｵﾋﾟﾗﾄﾞ,7,TPN,M5,,,,,,
漢字,石原ﾗﾐｯｸ顆粒水和剤,23649,,殺菌剤,ｲﾐﾉｸﾀｼﾞﾝｱﾙﾍﾞｼﾙ酸塩,M7,ﾋﾟﾘｵﾌｪﾉﾝ,50,,,,,,
漢字,日曹ﾗﾐｯｸ顆粒水和剤,23650,,殺菌剤,ｲﾐﾉｸﾀｼﾞﾝｱﾙﾍﾞｼﾙ酸塩,M7,ﾋﾟﾘｵﾌｪﾉﾝ,50,,,,,,
ラ,ﾗｸﾄｶﾞｰﾄﾞ水和剤,23660,,殺菌剤,ﾗｸﾄﾊﾞﾁﾙｽ ﾌﾟﾗﾝﾀﾗﾑ,「-（生）」,,,,,,,,
ト,ﾄﾞｰﾏｲｼﾝ水和剤,23679,,殺菌剤,ｽﾄﾚﾌﾟﾄﾏｲｼﾝ硫酸塩,25,有機銅,M1,,,,,,
ノ,ﾉﾝﾌﾞﾗｽﾊﾞﾘﾀﾞﾌﾛｱﾌﾞﾙ,23690,,殺菌剤,ﾄﾘｼｸﾗｿﾞｰﾙ,16.1,ﾊﾞﾘﾀﾞﾏｲｼﾝ,U18,ﾌｪﾘﾑｿﾞﾝ,U14,,,,
漢字,協友ﾌｪｽﾃｨﾊﾞﾙ水和剤,23692,,殺菌剤,ｼﾞﾒﾄﾓﾙﾌ,40,,,,,,,,
ス,ｽｸﾚｱﾌﾛｱﾌﾞﾙ,23701,,殺菌剤,ﾏﾝﾃﾞｽﾄﾛﾋﾞﾝ,11,,,,,,,,
シ,ｼﾊﾞｺﾝ,23702,,殺菌剤,ﾏﾝﾃﾞｽﾄﾛﾋﾞﾝ,11,,,,,,,,
サ,ｻﾝﾌﾞﾗｽ粒剤,23703,,殺菌剤,ﾄﾙﾌﾟﾛｶﾙﾌﾞ,16.3,,,,,,,,
コ,ｺﾞｳｹﾂ粒剤,23704,,殺菌剤,ﾄﾙﾌﾟﾛｶﾙﾌﾞ,16.3,,,,,,,,
モ,ﾓﾉﾄﾞｸﾀｰﾌﾛｱﾌﾞﾙ,23718,,殺菌剤,ｼﾞﾗﾑ,M3,,,,,,,,
ラ,ﾗｲﾄｱｯﾌﾟﾌﾛｱﾌﾞﾙ,23729,,殺菌剤,ｵｷｽﾎﾟｺﾅｿﾞｰﾙﾌﾏﾙ酸塩,3,ﾁｳﾗﾑ,M3,,,,,,
テ,ﾃﾞｨｱﾏﾝﾃ,23742,,殺菌剤,ﾄﾙｸﾛﾎｽﾒﾁﾙ,14,ﾏﾝﾃﾞｽﾄﾛﾋﾞﾝ,11,,,,,,
ス,ｽﾀｳﾄﾊﾟﾃﾞｨｰﾄDX箱粒剤,23773,,殺菌剤,ｸﾛﾁｱﾆｼﾞﾝ,4A,ｼｱﾝﾄﾗﾆﾘﾌﾟﾛｰﾙ,28,ｲｿﾁｱﾆﾙ,P3,,,,
ヒ,ﾋﾟｶｯﾄﾌﾛｱﾌﾞﾙ,23785,,殺菌剤,ﾍﾟﾝﾁｵﾋﾟﾗﾄﾞ,7,ﾒﾊﾟﾆﾋﾟﾘﾑ,9,,,,,,
メ,ﾒｼﾞｬｰﾌﾛｱﾌﾞﾙ,23804,,殺菌剤,ﾋﾟｺｷｼｽﾄﾛﾋﾞﾝ,11,,,,,,,,
マ,ﾏｯﾁｮﾌﾛｱﾌﾞﾙ,23805,,殺菌剤,ﾋﾟｺｷｼｽﾄﾛﾋﾞﾝ,11,,,,,,,,
ク,ｸﾞｯﾄｸﾙ水和剤,23836,,殺菌剤,ﾃﾌﾞｺﾅｿﾞｰﾙ,3,ﾏﾝｾﾞﾌﾞ,"UN(I*), M3(F*)",,,,,,
テ,ﾃﾞｨｽｱｰﾑﾌﾛｱﾌﾞﾙ,23860,,殺菌剤,ﾌﾙｵｷｻｽﾄﾛﾋﾞﾝ,11,,,,,,,,
ヒ,ﾋﾞｺﾞｰﾙﾄﾞﾌﾛｱﾌﾞﾙ,23861,,殺菌剤,ﾃﾄﾗｺﾅｿﾞｰﾙ,3,ﾌﾙｵｷｻｽﾄﾛﾋﾞﾝ,11,,,,,,
エ,ｴｺﾌｨｯﾄ,23862,,殺菌剤,醸造酢,"「-」(F*),「-」(H*)",,,,,,,,
オ,ｵﾍﾟﾗﾌﾗﾜｰ乳剤,23864,,殺菌剤,ﾋﾟﾗｸﾛｽﾄﾛﾋﾞﾝ,11,,,,,,,,
I,inochioｵﾍﾟﾗﾌﾗﾜｰ乳剤,23865,,殺菌剤,ﾋﾟﾗｸﾛｽﾄﾛﾋﾞﾝ,11,,,,,,,,
コ,ｺﾗﾄｯﾌﾟ豆つぶ,23889,,殺菌剤,ﾋﾟﾛｷﾛﾝ,16.1,,,,,,,,
ク,ｸｲﾝﾃｸﾄ顆粒水和剤,23894,,殺菌剤,ﾋﾟｶﾙﾌﾞﾄﾗｿﾞｸｽ,U17,,,,,,,,
オ,ｵﾘｾﾞﾒｰﾄ顆粒水和剤,23909,,殺菌剤,ﾌﾟﾛﾍﾞﾅｿﾞｰﾙ,P2,,,,,,,,
