selected_crop_id,match_crop_id
407,122969
407,127021
407,130106
407,137882
407,145249
407,150956
407,153734
407,155091
407,26494
407,40068
407,55006
408,408
408,3404
408,54246
408,1085
408,7574
408,11879
408,12765
408,22226
408,23659
408,24100
408,24738
408,25992
408,30585
408,30908
408,31923
408,32530
408,33857
408,35643
408,39273
408,41949
408,45798
408,46953
408,47803
408,50380
408,51009
408,53761
408,58625
408,122969
408,127021
408,130106
408,137882
408,145249
408,150956
408,153734
408,26494
408,40068
408,55006
409,409
409,6673
409,7635
409,8633
409,9224
409,10642
409,11343
409,11674
409,11852
409,15383
409,16646
409,16873
409,17169
409,18215
409,18841
409,19110
409,19564
409,19763
409,20803
409,21682
409,23047
409,23475
409,27126
409,27332
409,27641
409,29648
409,30690
409,31025
409,33448
409,35615
409,35848
409,36636
409,37389
409,39862
409,43506
409,45367
409,45443
409,46817
409,47345
409,49585
409,51478
409,53330
409,53984
409,54576
409,55202
409,58534
409,58664
409,118350
409,118814
409,119188
409,122775
409,123335
409,125014
409,125122
409,126593
409,127906
409,128244
409,128280
409,129929
409,138915
409,139373
409,139374
409,140413
409,143227
409,144143
409,147538
409,148142
409,150968
409,157078
409,30723
409,121928
424,424
424,5481
424,11116
424,13961
424,21425
424,23251
424,24983
424,24986
424,51472
424,51474
424,56233
424,409
424,7635
424,8633
424,9224
424,15383
424,16873
424,18215
424,19110
424,20803
424,21682
424,27126
424,27641
424,29648
424,31025
424,36636
424,45443
424,46817
424,47345
424,58534
424,118350
424,118814
424,119188
424,122775
424,126593
424,127906
424,128244
424,129929
424,138915
424,139373
424,139374
424,140413
424,147538
424,148142
424,150968
424,30723
424,121928
426,426
426,19111
426,409
426,6673
426,7635
426,8633
426,10642
426,11674
426,15383
426,16646
426,16873
426,17169
426,18841
426,19564
426,20803
426,21682
426,23047
426,23475
426,27126
426,27332
426,27641
426,29648
426,30690
426,35615
426,35848
426,36636
426,37389
426,39862
426,43506
426,45443
426,46817
426,47345
426,49585
426,53330
426,54576
426,55202
426,58534
426,58664
426,118350
426,118814
426,119188
426,122775
426,123335
426,125014
426,125122
426,126593
426,127906
426,128244
426,129929
426,138915
426,139373
426,139374
426,143227
426,144143
426,147538
426,148142
426,150968
426,157078
426,30723
426,121928
428,428
428,409
428,6673
428,8633
428,9224
428,10642
428,11343
428,11674
428,11852
428,15383
428,16646
428,16873
428,17169
428,18215
428,19110
428,19564
428,21682
428,23047
428,23475
428,27332
428,27641
428,29648
428,31025
428,33448
428,35615
428,35848
428,36636
428,37389
428,39862
428,43506
428,45367
428,46817
428,47345
428,51478
428,53330
428,53984
428,55202
428,58534
428,58664
428,118350
428,119188
428,122775
428,123335
428,125014
428,125122
428,126593
428,127906
428,128244
428,128280
428,129929
428,138915
428,139373
428,139374
428,140413
428,144143
428,147538
428,148142
428,150968
428,30723
428,121928
429,429
429,5460
429,409
429,6673
429,7635
429,8633
429,9224
429,10642
429,11343
429,11674
429,11852
429,15383
429,16646
429,16873
429,17169
429,18215
429,18841
429,19110
429,19564
429,19763
429,20803
429,21682
429,23047
429,23475
429,27126
429,27332
429,27641
429,29648
429,30690
429,31025
429,33448
429,35615
429,35848
429,36636
429,37389
429,39862
429,43506
429,45367
429,45443
429,46817
429,47345
429,49585
429,51478
429,53330
429,53984
429,54576
429,55202
429,58534
429,58664
429,118350
429,118814
429,119188
429,122775
429,123335
429,125014
429,125122
429,126593
429,127906
429,128244
429,128280
429,129929
429,138915
429,139373
429,139374
429,140413
429,143227
429,144143
429,147538
429,148142
429,150968
429,157078
429,30723
429,121928
430,430
430,409
430,6673
430,7635
430,8633
430,9224
430,10642
430,11343
430,11674
430,11852
430,15383
430,16646
430,16873
430,17169
430,18215
430,18841
430,19110
430,19564
430,19763
430,20803
430,21682
430,23047
430,23475
430,27126
430,27332
430,27641
430,29648
430,30690
430,31025
430,33448
430,35615
430,35848
430,36636
430,37389
430,39862
430,43506
430,45367
430,45443
430,46817
430,47345
430,49585
430,51478
430,53330
430,53984
430,54576
430,55202
430,58534
430,58664
430,118350
430,118814
430,119188
430,122775
430,123335
430,125014
430,125122
430,126593
430,127906
430,128244
430,128280
430,129929
430,138915
430,139373
430,139374
430,140413
430,143227
430,144143
430,147538
430,148142
430,150968
430,157078
430,30723
430,121928
431,431
431,409
431,6673
431,7635
431,8633
431,9224
431,10642
431,11343
431,11674
431,11852
431,15383
431,16646
431,16873
431,17169
431,18215
431,18841
431,19110
431,19564
431,19763
431,20803
431,21682
431,23047
431,23475
431,27126
431,27332
431,27641
431,29648
431,30690
431,31025
431,33448
431,35615
431,35848
431,36636
431,37389
431,39862
431,43506
